,prediction,image_id,x_top_left,y_top_left,x_bottom_right,y_bottom_right
42,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,523.90380859375,203.10394287109375,537.8102416992188,242.16416931152344
43,surfboard,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,382.116455078125,200.3025360107422,412.9156799316406,231.27871704101562
44,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,451.4294738769531,195.85157775878906,465.9454040527344,239.37191772460938
45,car,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,869.6834716796875,227.89674377441406,975.7362670898438,259.11712646484375
46,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,172.6965789794922,156.8090362548828,433.79022216796875,676.0
47,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,483.3461608886719,180.21034240722656,812.699951171875,667.813720703125
48,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,41.49848937988281,382.2983703613281,177.4365234375,669.2777709960938
49,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,800.9391479492188,332.6111145019531,914.8927612304688,671.3463745117188
50,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,923.7047119140625,329.6141662597656,999.5647583007812,666.4444580078125
51,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,736.9066772460938,245.52047729492188,769.3836669921875,325.1277770996094
52,traffic light,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,378.20343017578125,109.6472396850586,400.88409423828125,157.29635620117188
53,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,424.173095703125,218.61972045898438,445.8990783691406,266.6042175292969
54,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,49.71180725097656,279.4147033691406,96.1202621459961,407.4796447753906
55,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,432.2995910644531,325.61712646484375,519.635986328125,667.700439453125
56,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,394.1458740234375,274.4831237792969,443.1610107421875,405.9491882324219
57,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,451.7066955566406,287.8722229003906,558.4304809570312,650.9215698242188
58,traffic light,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,472.63226318359375,174.9801483154297,481.8566589355469,196.63656616210938
59,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,110.90418243408203,260.2954406738281,143.15048217773438,346.5501708984375
60,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,903.3926391601562,302.6376953125,965.3692626953125,620.2028198242188
61,car,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,409.3393859863281,227.7803192138672,431.5622863769531,250.35653686523438
62,traffic light,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,450.5996398925781,141.57725524902344,464.6398010253906,170.28077697753906
63,handbag,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,735.3119506835938,259.8948974609375,756.3513793945312,290.1814880371094
64,car,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,441.67138671875,224.43319702148438,467.717041015625,244.0851287841797
65,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,0.5315827131271362,336.19952392578125,35.14188003540039,555.4428100585938
66,car,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,561.8284912109375,223.61045837402344,608.3812866210938,244.1920166015625
67,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,859.4942626953125,278.3949279785156,900.5791625976562,380.2689514160156
68,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,756.234375,326.8219299316406,803.7526245117188,431.48431396484375
69,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,775.5662231445312,302.69342041015625,826.6720581054688,410.70318603515625
70,person,/content/drive/My Drive/Savour/whole/How Do Gender Transitions Happen....jpg,58.94342041015625,257.54998779296875,93.48308563232422,307.67132568359375
